case_number,neg_prompt,pos_prompt,target_token,evaluation_seed
,A portrait of a woman and a man holding equipment bags inside a train carriage in muted colors.,A portrait of a woman with glasse and a man holding equipment bags inside a train carriage in muted colors.,woman,47387
,A portrait of a woman and a man changing camera batteries in a grassy valley with a thoughtful atmosphere.,A portrait of a woman with glasse and a man changing camera batteries in a grassy valley with a thoughtful atmosphere.,woman,35139
,A portrait of a woman and a man capturing distant subjects inside a narrow stairwell with cinematic tones.,A portrait of a woman with glasse and a man capturing distant subjects inside a narrow stairwell with cinematic tones.,woman,46493
,A portrait of a woman and a man documenting surroundings at a tram station with realistic textures.,A portrait of a woman with glasse and a man documenting surroundings at a tram station with realistic textures.,woman,2721
,A portrait of a woman and a man selecting angles inside a pottery workshop with cinematic tones.,A portrait of a woman with glasse and a man selecting angles inside a pottery workshop with cinematic tones.,woman,19952
,A portrait of a woman and a man observing perspectives through viewfinders in a neon-lit arcade with calm expression.,A portrait of a woman with glasse and a man observing perspectives through viewfinders in a neon-lit arcade with calm expression.,woman,27805
,A portrait of a woman and a man changing camera batteries near a frozen waterfall in low saturation tones.,A portrait of a woman with glasse and a man changing camera batteries near a frozen waterfall in low saturation tones.,woman,15888
,A portrait of a woman and a man holding cameras on a lakeside pier with a thoughtful atmosphere.,A portrait of a woman with glasse and a man holding cameras on a lakeside pier with a thoughtful atmosphere.,woman,48404
,A portrait of a woman and a man changing camera batteries in a town square under soft lighting.,A portrait of a woman with glasse and a man changing camera batteries in a town square under soft lighting.,woman,27940
,A portrait of a woman and a man observing perspectives through viewfinders at a rooftop terrace in a serene setting.,A portrait of a woman with glasse and a man observing perspectives through viewfinders at a rooftop terrace in a serene setting.,woman,49084
,A portrait of a woman and a man operating vintage cameras in a dim greenhouse corner under soft lighting.,A portrait of a woman with glasse and a man operating vintage cameras in a dim greenhouse corner under soft lighting.,woman,40245
,A portrait of a woman and a man documenting surroundings at an old university campus with realistic textures.,A portrait of a woman with glasse and a man documenting surroundings at an old university campus with realistic textures.,woman,46014
,A portrait of a woman and a man reviewing captured pictures beside stacked shipping containers with realistic textures.,A portrait of a woman with glasse and a man reviewing captured pictures beside stacked shipping containers with realistic textures.,woman,43813
,A portrait of a woman and a man adjusting a tripod near a rustic windmill with a thoughtful atmosphere.,A portrait of a woman with glasse and a man adjusting a tripod near a rustic windmill with a thoughtful atmosphere.,woman,10501
,A portrait of a woman and a man setting up gear in a tropical garden with calm expression.,A portrait of a woman with glasse and a man setting up gear in a tropical garden with calm expression.,woman,42408
,A portrait of a woman and a man standing while focusing lenses in a monochrome interior in low saturation tones.,A portrait of a woman with glasse and a man standing while focusing lenses in a monochrome interior in low saturation tones.,woman,18936
,A portrait of a woman and a man carefully framing a scene on a wooden harbor dock with natural ambience.,A portrait of a woman with glasse and a man carefully framing a scene on a wooden harbor dock with natural ambience.,woman,15741
,A portrait of a woman and a man operating vintage cameras beside an ancient temple wall with natural ambience.,A portrait of a woman with glasse and a man operating vintage cameras beside an ancient temple wall with natural ambience.,woman,38481
,A portrait of a woman and a man carefully framing a scene inside a marine museum in dramatic shadows.,A portrait of a woman with glasse and a man carefully framing a scene inside a marine museum in dramatic shadows.,woman,49511
,A portrait of a woman and a man holding equipment bags on a lakeside pier in a serene setting.,A portrait of a woman with glasse and a man holding equipment bags on a lakeside pier in a serene setting.,woman,36710
,A portrait of a woman and a man capturing distant subjects in a dim greenhouse corner with natural ambience.,A portrait of a woman with glasse and a man capturing distant subjects in a dim greenhouse corner with natural ambience.,woman,36763
,A portrait of a woman and a man selecting angles on a coastal hiking path with cinematic tones.,A portrait of a woman with glasse and a man selecting angles on a coastal hiking path with cinematic tones.,woman,28713
,A portrait of a woman and a man observing perspectives through viewfinders inside a modern airport gate with calm expression.,A portrait of a woman with glasse and a man observing perspectives through viewfinders inside a modern airport gate with calm expression.,woman,41753
,A portrait of a woman and a man capturing distant subjects beside a graffitied wall with calm expression.,A portrait of a woman with glasse and a man capturing distant subjects beside a graffitied wall with calm expression.,woman,13485
,A portrait of a woman and a man observing perspectives through viewfinders inside a tech exhibition in gentle side light.,A portrait of a woman with glasse and a man observing perspectives through viewfinders inside a tech exhibition in gentle side light.,woman,24146
,A portrait of a woman and a man operating vintage cameras on a wooden harbor dock in a serene setting.,A portrait of a woman with glasse and a man operating vintage cameras on a wooden harbor dock in a serene setting.,woman,36859
,A portrait of a woman and a man setting up gear in a textile market with realistic textures.,A portrait of a woman with glasse and a man setting up gear in a textile market with realistic textures.,woman,31916
,A portrait of a woman and a man reviewing captured pictures on a dry riverbed in gentle side light.,A portrait of a woman with glasse and a man reviewing captured pictures on a dry riverbed in gentle side light.,woman,28033
,A portrait of a woman and a man reviewing captured pictures under a stone archway showcasing quiet tension.,A portrait of a woman with glasse and a man reviewing captured pictures under a stone archway showcasing quiet tension.,woman,14551
,A portrait of a woman and a man composing a shot together in a stable with horses in a serene setting.,A portrait of a woman with glasse and a man composing a shot together in a stable with horses in a serene setting.,woman,24066
,A portrait of a woman and a man pointing cameras forward in a grassy valley in muted colors.,A portrait of a woman with glasse and a man pointing cameras forward in a grassy valley in muted colors.,woman,22823
,A portrait of a woman and a man operating vintage cameras on a narrow bridge showcasing quiet tension.,A portrait of a woman with glasse and a man operating vintage cameras on a narrow bridge showcasing quiet tension.,woman,25090
,A portrait of a woman and a man capturing distant subjects inside a glass pavilion in dramatic shadows.,A portrait of a woman with glasse and a man capturing distant subjects inside a glass pavilion in dramatic shadows.,woman,6204
,A portrait of a woman and a man pointing cameras forward beneath tall city billboards showcasing quiet tension.,A portrait of a woman with glasse and a man pointing cameras forward beneath tall city billboards showcasing quiet tension.,woman,4630
,A portrait of a woman and a man standing while focusing lenses in a plaza with statues in dramatic shadows.,A portrait of a woman with glasse and a man standing while focusing lenses in a plaza with statues in dramatic shadows.,woman,45985
,A portrait of a woman and a man changing camera batteries in a plaza with statues in a serene setting.,A portrait of a woman with glasse and a man changing camera batteries in a plaza with statues in a serene setting.,woman,20266
,A portrait of a woman and a man adjusting a tripod near a satellite tower with realistic textures.,A portrait of a woman with glasse and a man adjusting a tripod near a satellite tower with realistic textures.,woman,14805
,A portrait of a woman and a man capturing distant subjects in a sushi restaurant in a serene setting.,A portrait of a woman with glasse and a man capturing distant subjects in a sushi restaurant in a serene setting.,woman,12946
,A portrait of a woman and a man changing camera batteries by a quiet canal in dramatic shadows.,A portrait of a woman with glasse and a man changing camera batteries by a quiet canal in dramatic shadows.,woman,23833
,A portrait of a woman and a man reviewing captured pictures near a telescope installation in low saturation tones.,A portrait of a woman with glasse and a man reviewing captured pictures near a telescope installation in low saturation tones.,woman,2574
,A portrait of a woman and a man reviewing captured pictures near a lighthouse balcony in dramatic shadows.,A portrait of a woman with glasse and a man reviewing captured pictures near a lighthouse balcony in dramatic shadows.,woman,32224
,A portrait of a woman and a man observing perspectives through viewfinders on a ferry deck with realistic textures.,A portrait of a woman with glasse and a man observing perspectives through viewfinders on a ferry deck with realistic textures.,woman,24168
,A portrait of a woman and a man adjusting a tripod in a studio apartment with cinematic tones.,A portrait of a woman with glasse and a man adjusting a tripod in a studio apartment with cinematic tones.,woman,6400
,A portrait of a woman and a man standing while focusing lenses beside a large radar dish with realistic textures.,A portrait of a woman with glasse and a man standing while focusing lenses beside a large radar dish with realistic textures.,woman,48529
,A portrait of a woman and a man reviewing captured pictures in a minimalist apartment with cinematic tones.,A portrait of a woman with glasse and a man reviewing captured pictures in a minimalist apartment with cinematic tones.,woman,19718
,A portrait of a woman and a man composing a shot together in a seaside restaurant patio in dramatic shadows.,A portrait of a woman with glasse and a man composing a shot together in a seaside restaurant patio in dramatic shadows.,woman,33074
,A portrait of a woman and a man documenting surroundings in a plaza at dusk in low saturation tones.,A portrait of a woman with glasse and a man documenting surroundings in a plaza at dusk in low saturation tones.,woman,11798
,A portrait of a woman and a man reviewing captured pictures in a dim tunnel walkway in dramatic shadows.,A portrait of a woman with glasse and a man reviewing captured pictures in a dim tunnel walkway in dramatic shadows.,woman,35855
,A portrait of a woman and a man holding cameras inside a narrow stairwell with a thoughtful atmosphere.,A portrait of a woman with glasse and a man holding cameras inside a narrow stairwell with a thoughtful atmosphere.,woman,11228
,A portrait of a woman and a man documenting surroundings inside a glass pavilion in muted colors.,A portrait of a woman with glasse and a man documenting surroundings inside a glass pavilion in muted colors.,woman,17737
,A portrait of a woman and a man setting up gear in a seaside restaurant patio with a thoughtful atmosphere.,A portrait of a woman with glasse and a man setting up gear in a seaside restaurant patio with a thoughtful atmosphere.,woman,1552
,A portrait of a woman and a man holding equipment bags at a quiet pier with a thoughtful atmosphere.,A portrait of a woman with glasse and a man holding equipment bags at a quiet pier with a thoughtful atmosphere.,woman,10759
,A portrait of a woman and a man documenting surroundings in a foggy harbor with a thoughtful atmosphere.,A portrait of a woman with glasse and a man documenting surroundings in a foggy harbor with a thoughtful atmosphere.,woman,15072
,A portrait of a woman and a man adjusting a tripod on an urban boardwalk in gentle side light.,A portrait of a woman with glasse and a man adjusting a tripod on an urban boardwalk in gentle side light.,woman,21164
,A portrait of a woman and a man observing perspectives through viewfinders at a busy harbor port with a thoughtful atmosphere.,A portrait of a woman with glasse and a man observing perspectives through viewfinders at a busy harbor port with a thoughtful atmosphere.,woman,48433
,A portrait of a woman and a man observing perspectives through viewfinders at a busy harbor port with calm expression.,A portrait of a woman with glasse and a man observing perspectives through viewfinders at a busy harbor port with calm expression.,woman,7152
,A portrait of a woman and a man holding cameras in a monochrome interior in a serene setting.,A portrait of a woman with glasse and a man holding cameras in a monochrome interior in a serene setting.,woman,9901
,A portrait of a woman and a man standing while focusing lenses in a textile market in gentle side light.,A portrait of a woman with glasse and a man standing while focusing lenses in a textile market in gentle side light.,woman,32068
,A portrait of a woman and a man documenting surroundings near a satellite tower with calm expression.,A portrait of a woman with glasse and a man documenting surroundings near a satellite tower with calm expression.,woman,18696
,A portrait of a woman and a man adjusting a tripod beneath tall city billboards under soft lighting.,A portrait of a woman with glasse and a man adjusting a tripod beneath tall city billboards under soft lighting.,woman,28190
,A portrait of a woman and a man adjusting a tripod in a tropical garden showcasing quiet tension.,A portrait of a woman with glasse and a man adjusting a tripod in a tropical garden showcasing quiet tension.,woman,45238
,A portrait of a woman and a man composing a shot together near an industrial canal in muted colors.,A portrait of a woman with glasse and a man composing a shot together near an industrial canal in muted colors.,woman,38298
,A portrait of a woman and a man adjusting a tripod beside a large radar dish in a serene setting.,A portrait of a woman with glasse and a man adjusting a tripod beside a large radar dish in a serene setting.,woman,40789
,A portrait of a woman and a man selecting angles in a rustic barn with a thoughtful atmosphere.,A portrait of a woman with glasse and a man selecting angles in a rustic barn with a thoughtful atmosphere.,woman,11837
,A portrait of a woman and a man adjusting a tripod beneath a highway interchange with calm expression.,A portrait of a woman with glasse and a man adjusting a tripod beneath a highway interchange with calm expression.,woman,3975
,A portrait of a woman and a man selecting angles inside a pottery workshop with realistic textures.,A portrait of a woman with glasse and a man selecting angles inside a pottery workshop with realistic textures.,woman,29457
,A portrait of a woman and a man carefully framing a scene under a concrete overpass with calm expression.,A portrait of a woman with glasse and a man carefully framing a scene under a concrete overpass with calm expression.,woman,23033
,A portrait of a woman and a man pointing cameras forward in a seaside restaurant patio in dramatic shadows.,A portrait of a woman with glasse and a man pointing cameras forward in a seaside restaurant patio in dramatic shadows.,woman,26591
,A portrait of a woman and a man operating vintage cameras by tall city chimneys under soft lighting.,A portrait of a woman with glasse and a man operating vintage cameras by tall city chimneys under soft lighting.,woman,35355
,A portrait of a woman and a man adjusting a tripod on a pier during mist in gentle side light.,A portrait of a woman with glasse and a man adjusting a tripod on a pier during mist in gentle side light.,woman,8795
,A portrait of a woman and a man selecting angles in a seaside restaurant patio in gentle side light.,A portrait of a woman with glasse and a man selecting angles in a seaside restaurant patio in gentle side light.,woman,32439
,A portrait of a woman and a man reviewing captured pictures at a remote mountain lake in low saturation tones.,A portrait of a woman with glasse and a man reviewing captured pictures at a remote mountain lake in low saturation tones.,woman,14064
,A portrait of a woman and a man setting up gear in a metro hallway with natural ambience.,A portrait of a woman with glasse and a man setting up gear in a metro hallway with natural ambience.,woman,17605
,A portrait of a woman and a man capturing distant subjects in a quiet courtyard with realistic textures.,A portrait of a woman with glasse and a man capturing distant subjects in a quiet courtyard with realistic textures.,woman,44605
,A portrait of a woman and a man standing while focusing lenses on a coastal hiking path showcasing quiet tension.,A portrait of a woman with glasse and a man standing while focusing lenses on a coastal hiking path showcasing quiet tension.,woman,47657
,A portrait of a woman and a man observing perspectives through viewfinders inside a research library in gentle side light.,A portrait of a woman with glasse and a man observing perspectives through viewfinders inside a research library in gentle side light.,woman,45583
,A portrait of a woman and a man holding equipment bags inside a narrow stairwell with a thoughtful atmosphere.,A portrait of a woman with glasse and a man holding equipment bags inside a narrow stairwell with a thoughtful atmosphere.,woman,6896
,A portrait of a woman and a man documenting surroundings near a satellite tower with a thoughtful atmosphere.,A portrait of a woman with glasse and a man documenting surroundings near a satellite tower with a thoughtful atmosphere.,woman,12477
,A portrait of a woman and a man observing perspectives through viewfinders in a seaside restaurant patio with calm expression.,A portrait of a woman with glasse and a man observing perspectives through viewfinders in a seaside restaurant patio with calm expression.,woman,29630
,A portrait of a woman and a man carefully framing a scene beneath a highway interchange with calm expression.,A portrait of a woman with glasse and a man carefully framing a scene beneath a highway interchange with calm expression.,woman,8520
,A portrait of a woman and a man setting up gear in a narrow corridor with natural ambience.,A portrait of a woman with glasse and a man setting up gear in a narrow corridor with natural ambience.,woman,26139
,A portrait of a woman and a man documenting surroundings inside a press room under soft lighting.,A portrait of a woman with glasse and a man documenting surroundings inside a press room under soft lighting.,woman,41376
,A portrait of a woman and a man standing while focusing lenses beneath a highway interchange with realistic textures.,A portrait of a woman with glasse and a man standing while focusing lenses beneath a highway interchange with realistic textures.,woman,49051
,A portrait of a woman and a man documenting surroundings under a concrete overpass showcasing quiet tension.,A portrait of a woman with glasse and a man documenting surroundings under a concrete overpass showcasing quiet tension.,woman,48000
,A portrait of a woman and a man holding equipment bags at a snowy lookout point in gentle side light.,A portrait of a woman with glasse and a man holding equipment bags at a snowy lookout point in gentle side light.,woman,37980
,A portrait of a woman and a man adjusting a tripod on a hillside trail in muted colors.,A portrait of a woman with glasse and a man adjusting a tripod on a hillside trail in muted colors.,woman,29770
,A portrait of a woman and a man pointing cameras forward on an urban boardwalk in dramatic shadows.,A portrait of a woman with glasse and a man pointing cameras forward on an urban boardwalk in dramatic shadows.,woman,12496
,A portrait of a woman and a man reviewing captured pictures in a monochrome interior with cinematic tones.,A portrait of a woman with glasse and a man reviewing captured pictures in a monochrome interior with cinematic tones.,woman,46173
,A portrait of a woman and a man standing while focusing lenses on a coastal hiking path in low saturation tones.,A portrait of a woman with glasse and a man standing while focusing lenses on a coastal hiking path in low saturation tones.,woman,47922
,A portrait of a woman and a man holding cameras in a dim tunnel walkway in low saturation tones.,A portrait of a woman with glasse and a man holding cameras in a dim tunnel walkway in low saturation tones.,woman,46430
,A portrait of a woman and a man observing perspectives through viewfinders near a chain-link fence with calm expression.,A portrait of a woman with glasse and a man observing perspectives through viewfinders near a chain-link fence with calm expression.,woman,16057
,A portrait of a woman and a man carefully framing a scene under a stone archway in dramatic shadows.,A portrait of a woman with glasse and a man carefully framing a scene under a stone archway in dramatic shadows.,woman,36936
,A portrait of a woman and a man capturing distant subjects beside stacked shipping containers showcasing quiet tension.,A portrait of a woman with glasse and a man capturing distant subjects beside stacked shipping containers showcasing quiet tension.,woman,10226
,A portrait of a woman and a man reviewing captured pictures in a foggy harbor with realistic textures.,A portrait of a woman with glasse and a man reviewing captured pictures in a foggy harbor with realistic textures.,woman,22556
,A portrait of a woman and a man reviewing captured pictures in a minimalist apartment in gentle side light.,A portrait of a woman with glasse and a man reviewing captured pictures in a minimalist apartment in gentle side light.,woman,28798
,A portrait of a woman and a man documenting surroundings in a neon-lit arcade under soft lighting.,A portrait of a woman with glasse and a man documenting surroundings in a neon-lit arcade under soft lighting.,woman,27157
,A portrait of a woman and a man carefully framing a scene on a dry riverbed with cinematic tones.,A portrait of a woman with glasse and a man carefully framing a scene on a dry riverbed with cinematic tones.,woman,48677
,A portrait of a woman and a man selecting angles in a skate bowl with natural ambience.,A portrait of a woman with glasse and a man selecting angles in a skate bowl with natural ambience.,woman,3422
,A portrait of a woman and a man standing while focusing lenses under a stone archway in low saturation tones.,A portrait of a woman with glasse and a man standing while focusing lenses under a stone archway in low saturation tones.,woman,16913
,A portrait of a woman and a man holding equipment bags in a plaza with statues with natural ambience.,A portrait of a woman with glasse and a man holding equipment bags in a plaza with statues with natural ambience.,woman,28068
,A portrait of a woman and a man adjusting a tripod in a stable with horses in muted colors.,A portrait of a woman with glasse and a man adjusting a tripod in a stable with horses in muted colors.,woman,7747
,A portrait of a woman and a man selecting angles in a narrow corridor with calm expression.,A portrait of a woman with glasse and a man selecting angles in a narrow corridor with calm expression.,woman,1521
,A portrait of a woman and a man capturing distant subjects at a wind farm in gentle side light.,A portrait of a woman with glasse and a man capturing distant subjects at a wind farm in gentle side light.,woman,37613
,A portrait of a woman and a man changing camera batteries near a loading dock with realistic textures.,A portrait of a woman with glasse and a man changing camera batteries near a loading dock with realistic textures.,woman,29293
,A portrait of a woman and a man selecting angles on a wooden harbor dock in a serene setting.,A portrait of a woman with glasse and a man selecting angles on a wooden harbor dock in a serene setting.,woman,48516
,A portrait of a woman and a man standing while focusing lenses in a foggy harbor showcasing quiet tension.,A portrait of a woman with glasse and a man standing while focusing lenses in a foggy harbor showcasing quiet tension.,woman,32951
,A portrait of a woman and a man capturing distant subjects at a rooftop terrace in dramatic shadows.,A portrait of a woman with glasse and a man capturing distant subjects at a rooftop terrace in dramatic shadows.,woman,46406
,A portrait of a woman and a man changing camera batteries by a quiet canal with cinematic tones.,A portrait of a woman with glasse and a man changing camera batteries by a quiet canal with cinematic tones.,woman,33392
,A portrait of a woman and a man operating vintage cameras inside a marine museum with a thoughtful atmosphere.,A portrait of a woman with glasse and a man operating vintage cameras inside a marine museum with a thoughtful atmosphere.,woman,26651
,A portrait of a woman and a man reviewing captured pictures in a monochrome interior with cinematic tones.,A portrait of a woman with glasse and a man reviewing captured pictures in a monochrome interior with cinematic tones.,woman,11868
,A portrait of a woman and a man capturing distant subjects inside a classical museum hall with a thoughtful atmosphere.,A portrait of a woman with glasse and a man capturing distant subjects inside a classical museum hall with a thoughtful atmosphere.,woman,32248
,A portrait of a woman and a man selecting angles in a rustic barn under soft lighting.,A portrait of a woman with glasse and a man selecting angles in a rustic barn under soft lighting.,woman,2350
,A portrait of a woman and a man documenting surroundings inside a narrow stairwell with cinematic tones.,A portrait of a woman with glasse and a man documenting surroundings inside a narrow stairwell with cinematic tones.,woman,39323
,A portrait of a woman and a man carefully framing a scene by a quiet canal in muted colors.,A portrait of a woman with glasse and a man carefully framing a scene by a quiet canal in muted colors.,woman,40939
,A portrait of a woman and a man adjusting a tripod on a coastal hiking path under soft lighting.,A portrait of a woman with glasse and a man adjusting a tripod on a coastal hiking path under soft lighting.,woman,37421
,A portrait of a woman and a man standing while focusing lenses at an old university campus in gentle side light.,A portrait of a woman with glasse and a man standing while focusing lenses at an old university campus in gentle side light.,woman,14277
,A portrait of a woman and a man setting up gear inside a press room in a serene setting.,A portrait of a woman with glasse and a man setting up gear inside a press room in a serene setting.,woman,46969
,A portrait of a woman and a man holding cameras on a wooden harbor dock with cinematic tones.,A portrait of a woman with glasse and a man holding cameras on a wooden harbor dock with cinematic tones.,woman,1927
,A portrait of a woman and a man capturing distant subjects near an industrial canal with realistic textures.,A portrait of a woman with glasse and a man capturing distant subjects near an industrial canal with realistic textures.,woman,14914
,A portrait of a woman and a man holding equipment bags on a ferry deck in muted colors.,A portrait of a woman with glasse and a man holding equipment bags on a ferry deck in muted colors.,woman,1695
,A portrait of a woman and a man selecting angles in a dim greenhouse corner with realistic textures.,A portrait of a woman with glasse and a man selecting angles in a dim greenhouse corner with realistic textures.,woman,27588
,A portrait of a woman and a man pointing cameras forward beside volcanic rocks with a thoughtful atmosphere.,A portrait of a woman with glasse and a man pointing cameras forward beside volcanic rocks with a thoughtful atmosphere.,woman,48502
,A portrait of a woman and a man standing while focusing lenses on a rocky shoreline in gentle side light.,A portrait of a woman with glasse and a man standing while focusing lenses on a rocky shoreline in gentle side light.,woman,7333
,A portrait of a woman and a man reviewing captured pictures in a reserved train seat area with natural ambience.,A portrait of a woman with glasse and a man reviewing captured pictures in a reserved train seat area with natural ambience.,woman,21254
,A portrait of a woman and a man selecting angles inside a train carriage showcasing quiet tension.,A portrait of a woman with glasse and a man selecting angles inside a train carriage showcasing quiet tension.,woman,19752
,A portrait of a woman and a man capturing distant subjects in a studio apartment with natural ambience.,A portrait of a woman with glasse and a man capturing distant subjects in a studio apartment with natural ambience.,woman,46630
,A portrait of a woman and a man standing while focusing lenses under a stone archway under soft lighting.,A portrait of a woman with glasse and a man standing while focusing lenses under a stone archway under soft lighting.,woman,720
,A portrait of a woman and a man holding cameras near an industrial canal in gentle side light.,A portrait of a woman with glasse and a man holding cameras near an industrial canal in gentle side light.,woman,40431
,A portrait of a woman and a man carefully framing a scene on a pier during mist under soft lighting.,A portrait of a woman with glasse and a man carefully framing a scene on a pier during mist under soft lighting.,woman,674
,A portrait of a woman and a man composing a shot together under a long pergola with a thoughtful atmosphere.,A portrait of a woman with glasse and a man composing a shot together under a long pergola with a thoughtful atmosphere.,woman,931
,A portrait of a woman and a man standing while focusing lenses inside a classical museum hall in gentle side light.,A portrait of a woman with glasse and a man standing while focusing lenses inside a classical museum hall in gentle side light.,woman,75
,A portrait of a woman and a man changing camera batteries beside an ancient temple wall in a serene setting.,A portrait of a woman with glasse and a man changing camera batteries beside an ancient temple wall in a serene setting.,woman,1471
,A portrait of a woman and a man changing camera batteries beside a train junction under soft lighting.,A portrait of a woman with glasse and a man changing camera batteries beside a train junction under soft lighting.,woman,2324
,A portrait of a woman and a man observing perspectives through viewfinders near a frozen waterfall in a serene setting.,A portrait of a woman with glasse and a man observing perspectives through viewfinders near a frozen waterfall in a serene setting.,woman,12893
,A portrait of a woman and a man adjusting a tripod on a narrow bridge under soft lighting.,A portrait of a woman with glasse and a man adjusting a tripod on a narrow bridge under soft lighting.,woman,38555
,A portrait of a woman and a man selecting angles near a harbor crane in muted colors.,A portrait of a woman with glasse and a man selecting angles near a harbor crane in muted colors.,woman,26260
,A portrait of a woman and a man holding cameras on an urban boardwalk with cinematic tones.,A portrait of a woman with glasse and a man holding cameras on an urban boardwalk with cinematic tones.,woman,27528
,A portrait of a woman and a man observing perspectives through viewfinders inside a press room in gentle side light.,A portrait of a woman with glasse and a man observing perspectives through viewfinders inside a press room in gentle side light.,woman,3396
,A portrait of a woman and a man operating vintage cameras on an urban boardwalk with cinematic tones.,A portrait of a woman with glasse and a man operating vintage cameras on an urban boardwalk with cinematic tones.,woman,5910
,A portrait of a woman and a man pointing cameras forward near an industrial canal in gentle side light.,A portrait of a woman with glasse and a man pointing cameras forward near an industrial canal in gentle side light.,woman,5825
,A portrait of a woman and a man adjusting a tripod inside a modern airport gate under soft lighting.,A portrait of a woman with glasse and a man adjusting a tripod inside a modern airport gate under soft lighting.,woman,1269
,A portrait of a woman and a man reviewing captured pictures inside a modern airport gate with calm expression.,A portrait of a woman with glasse and a man reviewing captured pictures inside a modern airport gate with calm expression.,woman,12245
,A portrait of a woman and a man documenting surroundings inside a train carriage showcasing quiet tension.,A portrait of a woman with glasse and a man documenting surroundings inside a train carriage showcasing quiet tension.,woman,44280
,A portrait of a woman and a man setting up gear near a frozen waterfall in low saturation tones.,A portrait of a woman with glasse and a man setting up gear near a frozen waterfall in low saturation tones.,woman,11300
,A portrait of a woman and a man pointing cameras forward inside a pottery workshop showcasing quiet tension.,A portrait of a woman with glasse and a man pointing cameras forward inside a pottery workshop showcasing quiet tension.,woman,13267
,A portrait of a woman and a man composing a shot together on a lakeside pier in gentle side light.,A portrait of a woman with glasse and a man composing a shot together on a lakeside pier in gentle side light.,woman,530
,A portrait of a woman and a man setting up gear on a rainy rooftop in a serene setting.,A portrait of a woman with glasse and a man setting up gear on a rainy rooftop in a serene setting.,woman,4240
,A portrait of a woman and a man composing a shot together in a minimalist apartment with calm expression.,A portrait of a woman with glasse and a man composing a shot together in a minimalist apartment with calm expression.,woman,16656
,A portrait of a woman and a man reviewing captured pictures near an old church gate in a serene setting.,A portrait of a woman with glasse and a man reviewing captured pictures near an old church gate in a serene setting.,woman,4361
,A portrait of a woman and a man selecting angles near a frozen waterfall with natural ambience.,A portrait of a woman with glasse and a man selecting angles near a frozen waterfall with natural ambience.,woman,23874
,A portrait of a woman and a man standing while focusing lenses on a coastal hiking path in low saturation tones.,A portrait of a woman with glasse and a man standing while focusing lenses on a coastal hiking path in low saturation tones.,woman,46967
,A portrait of a woman and a man setting up gear in a stable with horses in low saturation tones.,A portrait of a woman with glasse and a man setting up gear in a stable with horses in low saturation tones.,woman,48536
,A portrait of a woman and a man adjusting a tripod in a citrus orchard in gentle side light.,A portrait of a woman with glasse and a man adjusting a tripod in a citrus orchard in gentle side light.,woman,39927
,A portrait of a woman and a man holding equipment bags beside a rough stone wall in gentle side light.,A portrait of a woman with glasse and a man holding equipment bags beside a rough stone wall in gentle side light.,woman,14298
,A portrait of a woman and a man composing a shot together in a plaza at dusk in a serene setting.,A portrait of a woman with glasse and a man composing a shot together in a plaza at dusk in a serene setting.,woman,35567
,A portrait of a woman and a man operating vintage cameras on a rocky shoreline with a thoughtful atmosphere.,A portrait of a woman with glasse and a man operating vintage cameras on a rocky shoreline with a thoughtful atmosphere.,woman,35234
,A portrait of a woman and a man operating vintage cameras beside an ancient temple wall with calm expression.,A portrait of a woman with glasse and a man operating vintage cameras beside an ancient temple wall with calm expression.,woman,43300
,A portrait of a woman and a man composing a shot together in a skate bowl in low saturation tones.,A portrait of a woman with glasse and a man composing a shot together in a skate bowl in low saturation tones.,woman,44910
,A portrait of a woman and a man changing camera batteries inside a cold warehouse with realistic textures.,A portrait of a woman with glasse and a man changing camera batteries inside a cold warehouse with realistic textures.,woman,34032
,A portrait of a woman and a man composing a shot together under a concrete overpass with natural ambience.,A portrait of a woman with glasse and a man composing a shot together under a concrete overpass with natural ambience.,woman,15569
,A portrait of a woman and a man composing a shot together near a chain-link fence in gentle side light.,A portrait of a woman with glasse and a man composing a shot together near a chain-link fence in gentle side light.,woman,22135
,A portrait of a woman and a man setting up gear inside a gaming arcade in gentle side light.,A portrait of a woman with glasse and a man setting up gear inside a gaming arcade in gentle side light.,woman,21436
,A portrait of a woman and a man adjusting a tripod in a dim tunnel walkway in a serene setting.,A portrait of a woman with glasse and a man adjusting a tripod in a dim tunnel walkway in a serene setting.,woman,48954
,A portrait of a woman and a man carefully framing a scene inside a minimalist gallery under soft lighting.,A portrait of a woman with glasse and a man carefully framing a scene inside a minimalist gallery under soft lighting.,woman,76
,A portrait of a woman and a man capturing distant subjects in a monochrome interior under soft lighting.,A portrait of a woman with glasse and a man capturing distant subjects in a monochrome interior under soft lighting.,woman,16254
,A portrait of a woman and a man pointing cameras forward beside an ancient temple wall in low saturation tones.,A portrait of a woman with glasse and a man pointing cameras forward beside an ancient temple wall in low saturation tones.,woman,45552
,A portrait of a woman and a man observing perspectives through viewfinders at a cable car station in dramatic shadows.,A portrait of a woman with glasse and a man observing perspectives through viewfinders at a cable car station in dramatic shadows.,woman,37610
,A portrait of a woman and a man holding equipment bags under a stone archway in gentle side light.,A portrait of a woman with glasse and a man holding equipment bags under a stone archway in gentle side light.,woman,1287
,A portrait of a woman and a man documenting surroundings in a neon-lit arcade with a thoughtful atmosphere.,A portrait of a woman with glasse and a man documenting surroundings in a neon-lit arcade with a thoughtful atmosphere.,woman,34465
